User_ID,Is_Response
id80340,happy
id80341,not happy
id80342,happy
id80343,happy
id80344,not happy
id80345,not happy
id80346,happy
id80347,not happy
id80348,not happy
id80349,not happy
id80350,not happy
id80351,not happy
id80352,not happy
id80353,not happy
id80354,not happy
id80355,not happy
id80356,happy
id80357,not happy
id80358,not happy
id80359,not happy
id80360,not happy
id80361,not happy
id80362,not happy
id80363,not happy
id80364,happy
id80365,not happy
id80366,happy
id80367,not happy
id80368,not happy
id80369,not happy
id80370,not happy
id80371,not happy
id80372,not happy
id80373,happy
id80374,not happy
id80375,happy
id80376,not happy
id80377,not happy
id80378,not happy
id80379,not happy
id80380,happy
id80381,not happy
id80382,not happy
id80383,happy
id80384,not happy
id80385,not happy
id80386,not happy
id80387,not happy
id80388,not happy
id80389,not happy
id80390,not happy
id80391,not happy
id80392,not happy
id80393,not happy
id80394,not happy
id80395,happy
id80396,not happy
id80397,not happy
id80398,not happy
id80399,not happy
id80400,not happy
id80401,not happy
id80402,happy
id80403,happy
id80404,not happy
id80405,not happy
id80406,happy
id80407,not happy
id80408,not happy
id80409,not happy
id80410,not happy
id80411,happy
id80412,not happy
id80413,not happy
id80414,not happy
id80415,not happy
id80416,not happy
id80417,not happy
id80418,not happy
id80419,not happy
id80420,not happy
id80421,not happy
id80422,not happy
id80423,not happy
id80424,happy
id80425,not happy
id80426,not happy
id80427,not happy
id80428,not happy
id80429,not happy
id80430,not happy
id80431,happy
id80432,happy
id80433,not happy
id80434,happy
id80435,not happy
id80436,not happy
id80437,not happy
id80438,not happy
id80439,not happy
id80440,not happy
id80441,not happy
id80442,not happy
id80443,not happy
id80444,not happy
id80445,not happy
id80446,not happy
id80447,not happy
id80448,not happy
id80449,not happy
id80450,not happy
id80451,not happy
id80452,not happy
id80453,not happy
id80454,not happy
id80455,happy
id80456,not happy
id80457,not happy
id80458,not happy
id80459,not happy
id80460,not happy
id80461,not happy
id80462,not happy
id80463,not happy
id80464,not happy
id80465,not happy
id80466,not happy
id80467,not happy
id80468,not happy
id80469,not happy
id80470,not happy
id80471,happy
id80472,not happy
id80473,not happy
id80474,not happy
id80475,not happy
id80476,happy
id80477,not happy
id80478,not happy
id80479,not happy
id80480,not happy
id80481,not happy
id80482,not happy
id80483,not happy
id80484,not happy
id80485,not happy
id80486,not happy
id80487,not happy
id80488,happy
id80489,not happy
id80490,not happy
id80491,not happy
id80492,not happy
id80493,not happy
id80494,not happy
id80495,not happy
id80496,not happy
id80497,not happy
id80498,not happy
id80499,not happy
id80500,not happy
id80501,not happy
id80502,not happy
id80503,not happy
id80504,not happy
id80505,not happy
id80506,not happy
id80507,not happy
id80508,not happy
id80509,not happy
id80510,not happy
id80511,not happy
id80512,not happy
id80513,not happy
id80514,not happy
id80515,not happy
id80516,not happy
id80517,not happy
id80518,not happy
id80519,not happy
id80520,not happy
id80521,not happy
id80522,happy
id80523,not happy
id80524,not happy
id80525,not happy
id80526,not happy
id80527,not happy
id80528,not happy
id80529,not happy
id80530,not happy
id80531,not happy
id80532,not happy
id80533,happy
id80534,not happy
id80535,not happy
id80536,not happy
id80537,not happy
id80538,not happy
id80539,happy
id80540,happy
id80541,happy
id80542,not happy
id80543,not happy
id80544,not happy
id80545,not happy
id80546,not happy
id80547,not happy
id80548,not happy
id80549,not happy
id80550,happy
id80551,not happy
id80552,not happy
id80553,not happy
id80554,not happy
id80555,not happy
id80556,not happy
id80557,happy
id80558,not happy
id80559,not happy
id80560,not happy
id80561,not happy
id80562,not happy
id80563,not happy
id80564,not happy
id80565,not happy
id80566,not happy
id80567,not happy
id80568,not happy
id80569,not happy
id80570,not happy
id80571,not happy
id80572,not happy
id80573,not happy
id80574,not happy
id80575,not happy
id80576,not happy
id80577,not happy
id80578,not happy
id80579,not happy
id80580,not happy
id80581,not happy
id80582,not happy
id80583,not happy
id80584,not happy
id80585,not happy
id80586,not happy
id80587,not happy
id80588,not happy
id80589,not happy
id80590,not happy
id80591,not happy
id80592,not happy
id80593,not happy
id80594,not happy
id80595,not happy
id80596,not happy
id80597,not happy
id80598,not happy
id80599,not happy
id80600,not happy
id80601,not happy
id80602,not happy
id80603,not happy
id80604,not happy
id80605,not happy
id80606,not happy
id80607,not happy
id80608,not happy
id80609,not happy
id80610,happy
id80611,not happy
id80612,not happy
id80613,not happy
id80614,not happy
id80615,not happy
id80616,not happy
id80617,not happy
id80618,not happy
id80619,not happy
id80620,not happy
id80621,not happy
id80622,not happy
id80623,not happy
id80624,not happy
id80625,not happy
id80626,not happy
id80627,happy
id80628,not happy
id80629,not happy
id80630,not happy
id80631,not happy
id80632,not happy
id80633,happy
id80634,not happy
id80635,not happy
id80636,not happy
id80637,not happy
id80638,not happy
id80639,not happy
id80640,happy
id80641,not happy
id80642,not happy
id80643,not happy
id80644,not happy
id80645,not happy
id80646,not happy
id80647,not happy
id80648,not happy
id80649,not happy
id80650,not happy
id80651,not happy
id80652,not happy
id80653,not happy
id80654,not happy
id80655,not happy
id80656,happy
id80657,not happy
id80658,not happy
id80659,not happy
id80660,not happy
id80661,happy
id80662,not happy
id80663,happy
id80664,not happy
id80665,not happy
id80666,not happy
id80667,not happy
id80668,not happy
id80669,not happy
id80670,not happy
id80671,not happy
id80672,not happy
id80673,not happy
id80674,not happy
id80675,not happy
id80676,not happy
id80677,not happy
id80678,not happy
id80679,not happy
id80680,not happy
id80681,not happy
id80682,not happy
id80683,not happy
id80684,not happy
id80685,not happy
id80686,not happy
id80687,happy
id80688,not happy
id80689,happy
id80690,not happy
id80691,not happy
id80692,happy
id80693,not happy
id80694,not happy
id80695,not happy
id80696,not happy
id80697,not happy
id80698,not happy
id80699,happy
id80700,not happy
id80701,not happy
id80702,not happy
id80703,happy
id80704,not happy
id80705,not happy
id80706,not happy
id80707,not happy
id80708,happy
id80709,not happy
id80710,not happy
id80711,not happy
id80712,not happy
id80713,not happy
id80714,not happy
id80715,not happy
id80716,not happy
id80717,happy
id80718,not happy
id80719,not happy
id80720,not happy
id80721,not happy
id80722,not happy
id80723,not happy
id80724,not happy
id80725,not happy
id80726,not happy
id80727,not happy
id80728,not happy
id80729,not happy
id80730,happy
id80731,happy
id80732,not happy
id80733,not happy
id80734,not happy
id80735,not happy
id80736,not happy
id80737,not happy
id80738,not happy
id80739,not happy
id80740,not happy
id80741,not happy
id80742,not happy
id80743,not happy
id80744,happy
id80745,happy
id80746,not happy
id80747,not happy
id80748,not happy
id80749,not happy
id80750,not happy
id80751,not happy
id80752,happy
id80753,not happy
id80754,not happy
id80755,not happy
id80756,not happy
id80757,not happy
id80758,not happy
id80759,not happy
id80760,not happy
id80761,not happy
id80762,not happy
id80763,not happy
id80764,not happy
id80765,not happy
id80766,not happy
id80767,not happy
id80768,not happy
id80769,not happy
id80770,not happy
id80771,not happy
id80772,not happy
id80773,not happy
id80774,not happy
id80775,not happy
id80776,not happy
id80777,not happy
id80778,not happy
id80779,not happy
id80780,not happy
id80781,not happy
id80782,not happy
id80783,not happy
id80784,happy
id80785,not happy
id80786,not happy
id80787,not happy
id80788,not happy
id80789,not happy
id80790,not happy
id80791,not happy
id80792,not happy
id80793,not happy
id80794,not happy
id80795,not happy
id80796,not happy
id80797,happy
id80798,not happy
id80799,not happy
id80800,not happy
id80801,not happy
id80802,not happy
id80803,not happy
id80804,not happy
id80805,not happy
id80806,happy
id80807,not happy
id80808,not happy
id80809,not happy
id80810,not happy
id80811,not happy
id80812,not happy
id80813,not happy
id80814,not happy
id80815,not happy
id80816,not happy
id80817,not happy
id80818,not happy
id80819,not happy
id80820,not happy
id80821,not happy
id80822,not happy
id80823,not happy
id80824,not happy
id80825,not happy
id80826,not happy
id80827,not happy
id80828,not happy
id80829,not happy
id80830,not happy
id80831,not happy
id80832,not happy
id80833,not happy
id80834,not happy
id80835,not happy
id80836,not happy
id80837,not happy
id80838,not happy
id80839,not happy
id80840,not happy
id80841,not happy
id80842,not happy
id80843,not happy
id80844,not happy
id80845,not happy
id80846,not happy
id80847,not happy
id80848,not happy
id80849,not happy
id80850,not happy
id80851,not happy
id80852,not happy
id80853,not happy
id80854,not happy
id80855,not happy
id80856,not happy
id80857,not happy
id80858,not happy
id80859,not happy
id80860,happy
id80861,not happy
id80862,not happy
id80863,not happy
id80864,not happy
id80865,happy
id80866,not happy
id80867,not happy
id80868,not happy
id80869,not happy
id80870,not happy
id80871,not happy
id80872,not happy
id80873,happy
id80874,not happy
id80875,happy
id80876,not happy
id80877,not happy
id80878,not happy
id80879,not happy
id80880,not happy
id80881,not happy
id80882,not happy
id80883,not happy
id80884,not happy
id80885,not happy
id80886,not happy
id80887,not happy
id80888,not happy
id80889,not happy
id80890,not happy
id80891,not happy
id80892,not happy
id80893,not happy
id80894,not happy
id80895,not happy
id80896,not happy
id80897,not happy
id80898,not happy
id80899,not happy
id80900,happy
id80901,not happy
id80902,not happy
id80903,not happy
id80904,not happy
id80905,not happy
id80906,happy
id80907,not happy
id80908,not happy
id80909,happy
id80910,not happy
id80911,not happy
id80912,not happy
id80913,not happy
id80914,not happy
id80915,not happy
id80916,not happy
id80917,not happy
id80918,not happy
id80919,not happy
id80920,not happy
id80921,not happy
id80922,not happy
id80923,not happy
id80924,not happy
id80925,happy
id80926,happy
id80927,not happy
id80928,not happy
id80929,not happy
id80930,not happy
id80931,not happy
id80932,not happy
id80933,not happy
id80934,not happy
id80935,happy
id80936,not happy
id80937,happy
id80938,not happy
id80939,not happy
id80940,not happy
id80941,not happy
id80942,not happy
id80943,not happy
id80944,not happy
id80945,not happy
id80946,not happy
id80947,not happy
id80948,not happy
id80949,not happy
id80950,not happy
id80951,not happy
id80952,not happy
id80953,not happy
id80954,not happy
id80955,not happy
id80956,not happy
id80957,not happy
id80958,not happy
id80959,not happy
id80960,not happy
id80961,not happy
id80962,not happy
id80963,not happy
id80964,happy
id80965,not happy
id80966,not happy
id80967,not happy
id80968,not happy
id80969,not happy
id80970,not happy
id80971,not happy
id80972,not happy
id80973,not happy
id80974,not happy
id80975,not happy
id80976,not happy
id80977,not happy
id80978,not happy
id80979,not happy
id80980,not happy
id80981,not happy
id80982,happy
id80983,not happy
id80984,happy
id80985,not happy
id80986,not happy
id80987,not happy
id80988,not happy
id80989,not happy
id80990,not happy
id80991,happy
id80992,not happy
id80993,not happy
id80994,not happy
id80995,not happy
id80996,not happy
id80997,not happy
id80998,not happy
id80999,not happy
id81000,not happy
id81001,not happy
id81002,not happy
id81003,not happy
id81004,happy
id81005,not happy
id81006,not happy
id81007,not happy
id81008,not happy
id81009,not happy
id81010,not happy
id81011,not happy
id81012,not happy
id81013,not happy
id81014,not happy
id81015,not happy
id81016,not happy
id81017,not happy
id81018,not happy
id81019,happy
id81020,not happy
id81021,happy
id81022,happy
id81023,not happy
id81024,happy
id81025,not happy
id81026,not happy
id81027,not happy
id81028,happy
id81029,happy
id81030,not happy
id81031,not happy
id81032,not happy
id81033,not happy
id81034,not happy
id81035,not happy
id81036,not happy
id81037,not happy
id81038,not happy
id81039,not happy
id81040,not happy
id81041,not happy
id81042,not happy
id81043,not happy
id81044,not happy
id81045,not happy
id81046,not happy
id81047,not happy
id81048,not happy
id81049,not happy
id81050,not happy
id81051,not happy
id81052,not happy
id81053,not happy
id81054,happy
id81055,not happy
id81056,not happy
id81057,happy
id81058,not happy
id81059,not happy
id81060,not happy
id81061,not happy
id81062,not happy
id81063,happy
id81064,not happy
id81065,not happy
id81066,not happy
id81067,not happy
id81068,not happy
id81069,not happy
id81070,not happy
id81071,not happy
id81072,not happy
id81073,not happy
id81074,not happy
id81075,happy
id81076,not happy
id81077,not happy
id81078,not happy
id81079,not happy
id81080,not happy
id81081,not happy
id81082,not happy
id81083,not happy
id81084,not happy
id81085,not happy
id81086,not happy
id81087,not happy
id81088,not happy
id81089,not happy
id81090,not happy
id81091,not happy
id81092,not happy
id81093,not happy
id81094,not happy
id81095,not happy
id81096,not happy
id81097,not happy
id81098,not happy
id81099,not happy
id81100,not happy
id81101,not happy
id81102,not happy
id81103,not happy
id81104,happy
id81105,not happy
id81106,not happy
id81107,not happy
id81108,not happy
id81109,happy
id81110,not happy
id81111,happy
id81112,not happy
id81113,not happy
id81114,not happy
id81115,not happy
id81116,not happy
id81117,happy
id81118,happy
id81119,not happy
id81120,not happy
id81121,not happy
id81122,happy
id81123,not happy
id81124,happy
id81125,happy
id81126,happy
id81127,not happy
id81128,not happy
id81129,happy
id81130,not happy
id81131,not happy
id81132,not happy
id81133,not happy
id81134,not happy
id81135,not happy
id81136,not happy
id81137,not happy
id81138,not happy
id81139,not happy
id81140,not happy
id81141,not happy
id81142,not happy
id81143,not happy
id81144,not happy
id81145,not happy
id81146,happy
id81147,not happy
id81148,not happy
id81149,not happy
id81150,not happy
id81151,not happy
id81152,not happy
id81153,not happy
id81154,not happy
id81155,not happy
id81156,not happy
id81157,not happy
id81158,not happy
id81159,not happy
id81160,not happy
id81161,not happy
id81162,happy
id81163,happy
id81164,not happy
id81165,not happy
id81166,not happy
id81167,not happy
id81168,not happy
id81169,not happy
id81170,not happy
id81171,not happy
id81172,not happy
id81173,not happy
id81174,not happy
id81175,not happy
id81176,not happy
id81177,happy
id81178,happy
id81179,not happy
id81180,not happy
id81181,happy
id81182,not happy
id81183,not happy
id81184,not happy
id81185,not happy
id81186,not happy
id81187,not happy
id81188,not happy
id81189,happy
id81190,not happy
id81191,not happy
id81192,not happy
id81193,not happy
id81194,not happy
id81195,not happy
id81196,not happy
id81197,not happy
id81198,not happy
id81199,not happy
id81200,not happy
id81201,not happy
id81202,not happy
id81203,not happy
id81204,not happy
id81205,not happy
id81206,not happy
id81207,not happy
id81208,not happy
id81209,not happy
id81210,not happy
id81211,not happy
id81212,not happy
id81213,not happy
id81214,not happy
id81215,not happy
id81216,happy
id81217,happy
id81218,not happy
id81219,not happy
id81220,not happy
id81221,happy
id81222,not happy
id81223,not happy
id81224,not happy
id81225,not happy
id81226,not happy
id81227,not happy
id81228,not happy
id81229,not happy
id81230,not happy
id81231,happy
id81232,not happy
id81233,not happy
id81234,not happy
id81235,not happy
id81236,not happy
id81237,not happy
id81238,not happy
id81239,not happy
id81240,not happy
id81241,not happy
id81242,not happy
id81243,not happy
id81244,not happy
id81245,not happy
id81246,not happy
id81247,not happy
id81248,happy
id81249,happy
id81250,not happy
id81251,happy
id81252,not happy
id81253,happy
id81254,not happy
id81255,not happy
id81256,not happy
id81257,not happy
id81258,not happy
id81259,not happy
id81260,not happy
id81261,not happy
id81262,not happy
id81263,not happy
id81264,not happy
id81265,not happy
id81266,not happy
id81267,not happy
id81268,not happy
id81269,happy
id81270,not happy
id81271,not happy
id81272,not happy
id81273,not happy
id81274,not happy
id81275,not happy
id81276,happy
id81277,not happy
id81278,not happy
id81279,not happy
id81280,not happy
id81281,not happy
id81282,not happy
id81283,not happy
id81284,not happy
id81285,not happy
id81286,happy
id81287,not happy
id81288,happy
id81289,not happy
id81290,not happy
id81291,not happy
id81292,not happy
id81293,not happy
id81294,not happy
id81295,not happy
id81296,happy
id81297,not happy
id81298,happy
id81299,not happy
id81300,not happy
id81301,happy
id81302,not happy
id81303,not happy
id81304,not happy
id81305,happy
id81306,not happy
id81307,not happy
id81308,not happy
id81309,happy
id81310,not happy
id81311,not happy
id81312,not happy
id81313,not happy
id81314,not happy
id81315,not happy
id81316,not happy
id81317,not happy
id81318,not happy
id81319,not happy
id81320,not happy
id81321,not happy
id81322,not happy
id81323,not happy
id81324,not happy
id81325,not happy
id81326,not happy
id81327,not happy
id81328,not happy
id81329,not happy
id81330,not happy
id81331,not happy
id81332,happy
id81333,not happy
id81334,not happy
id81335,not happy
id81336,not happy
id81337,not happy
id81338,not happy
id81339,not happy
id81340,not happy
id81341,not happy
id81342,happy
id81343,not happy
id81344,not happy
id81345,happy
id81346,not happy
id81347,not happy
id81348,not happy
id81349,not happy
id81350,not happy
id81351,not happy
id81352,happy
id81353,not happy
id81354,not happy
id81355,not happy
id81356,happy
id81357,not happy
id81358,not happy
id81359,not happy
id81360,not happy
id81361,not happy
id81362,not happy
id81363,not happy
id81364,not happy
id81365,not happy
id81366,not happy
id81367,not happy
id81368,not happy
id81369,not happy
id81370,not happy
id81371,happy
id81372,not happy
id81373,not happy
id81374,not happy
id81375,happy
id81376,not happy
id81377,not happy
id81378,not happy
id81379,happy
id81380,not happy
id81381,not happy
id81382,happy
id81383,not happy
id81384,not happy
id81385,not happy
id81386,not happy
id81387,not happy
id81388,not happy
id81389,happy
id81390,not happy
id81391,not happy
id81392,not happy
id81393,not happy
id81394,not happy
id81395,not happy
id81396,not happy
id81397,not happy
id81398,happy
id81399,not happy
id81400,not happy
id81401,not happy
id81402,not happy
id81403,not happy
id81404,not happy
id81405,not happy
id81406,not happy
id81407,not happy
id81408,not happy
id81409,not happy
id81410,not happy
id81411,not happy
id81412,not happy
id81413,happy
id81414,happy
id81415,not happy
id81416,not happy
id81417,not happy
id81418,not happy
id81419,not happy
id81420,not happy
id81421,not happy
id81422,not happy
id81423,not happy
id81424,not happy
id81425,happy
id81426,not happy
id81427,happy
id81428,not happy
id81429,not happy
id81430,not happy
id81431,not happy
id81432,not happy
id81433,not happy
id81434,not happy
id81435,not happy
id81436,happy
id81437,not happy
id81438,not happy
id81439,not happy
id81440,happy
id81441,not happy
id81442,not happy
id81443,not happy
id81444,not happy
id81445,not happy
id81446,not happy
id81447,not happy
id81448,not happy
id81449,not happy
id81450,not happy
id81451,not happy
id81452,not happy
id81453,not happy
id81454,happy
id81455,not happy
id81456,not happy
id81457,not happy
id81458,not happy
id81459,not happy
id81460,not happy
id81461,not happy
id81462,not happy
id81463,not happy
id81464,not happy
id81465,not happy
id81466,not happy
id81467,not happy
id81468,not happy
id81469,not happy
id81470,not happy
id81471,not happy
id81472,not happy
id81473,not happy
id81474,not happy
id81475,happy
id81476,not happy
id81477,not happy
id81478,not happy
id81479,not happy
id81480,not happy
id81481,not happy
id81482,not happy
id81483,not happy
id81484,not happy
id81485,not happy
id81486,not happy
id81487,not happy
id81488,happy
id81489,not happy
id81490,not happy
id81491,not happy
id81492,not happy
id81493,not happy
id81494,not happy
id81495,not happy
id81496,not happy
id81497,not happy
id81498,happy
id81499,not happy
id81500,happy
id81501,not happy
id81502,not happy
id81503,not happy
id81504,not happy
id81505,not happy
id81506,not happy
id81507,not happy
id81508,happy
id81509,happy
id81510,not happy
id81511,happy
id81512,not happy
id81513,not happy
id81514,not happy
id81515,happy
id81516,not happy
id81517,not happy
id81518,not happy
id81519,not happy
id81520,not happy
id81521,not happy
id81522,happy
id81523,not happy
id81524,not happy
id81525,not happy
id81526,happy
id81527,not happy
id81528,not happy
id81529,not happy
id81530,not happy
id81531,not happy
id81532,not happy
id81533,not happy
id81534,not happy
id81535,happy
id81536,not happy
id81537,not happy
id81538,not happy
id81539,not happy
id81540,not happy
id81541,happy
id81542,not happy
id81543,not happy
id81544,not happy
id81545,not happy
id81546,not happy
id81547,not happy
id81548,not happy
id81549,not happy
id81550,not happy
id81551,not happy
id81552,not happy
id81553,not happy
id81554,not happy
id81555,not happy
id81556,not happy
id81557,not happy
id81558,happy
id81559,happy
id81560,not happy
id81561,not happy
id81562,not happy
id81563,not happy
id81564,not happy
id81565,not happy
id81566,happy
id81567,not happy
id81568,not happy
id81569,not happy
id81570,not happy
id81571,not happy
id81572,not happy
id81573,not happy
id81574,not happy
id81575,not happy
id81576,not happy
id81577,not happy
id81578,not happy
id81579,not happy
id81580,not happy
id81581,not happy
id81582,not happy
id81583,not happy
id81584,not happy
id81585,not happy
id81586,not happy
id81587,not happy
id81588,not happy
id81589,not happy
id81590,not happy
id81591,not happy
id81592,not happy
id81593,not happy
id81594,not happy
id81595,not happy
id81596,not happy
id81597,happy
id81598,not happy
id81599,not happy
id81600,not happy
id81601,not happy
id81602,happy
id81603,not happy
id81604,not happy
id81605,not happy
id81606,not happy
id81607,not happy
id81608,not happy
id81609,not happy
id81610,not happy
id81611,not happy
id81612,not happy
id81613,not happy
id81614,not happy
id81615,not happy
id81616,not happy
id81617,not happy
id81618,not happy
id81619,happy
id81620,not happy
id81621,not happy
id81622,not happy
id81623,happy
id81624,not happy
id81625,not happy
id81626,not happy
id81627,happy
id81628,not happy
id81629,not happy
id81630,not happy
id81631,not happy
id81632,happy
id81633,happy
id81634,not happy
id81635,not happy
id81636,not happy
id81637,not happy
id81638,not happy
id81639,not happy
id81640,not happy
id81641,not happy
id81642,not happy
id81643,not happy
id81644,not happy
id81645,not happy
id81646,not happy
id81647,not happy
id81648,not happy
id81649,not happy
id81650,not happy
id81651,not happy
id81652,not happy
id81653,not happy
id81654,not happy
id81655,not happy
id81656,not happy
id81657,not happy
id81658,not happy
id81659,not happy
id81660,not happy
id81661,not happy
id81662,not happy
id81663,not happy
id81664,not happy
id81665,not happy
id81666,not happy
id81667,not happy
id81668,not happy
id81669,not happy
id81670,not happy
id81671,not happy
id81672,not happy
id81673,happy
id81674,not happy
id81675,not happy
id81676,not happy
id81677,not happy
id81678,not happy
id81679,not happy
id81680,not happy
id81681,not happy
id81682,not happy
id81683,not happy
id81684,not happy
id81685,not happy
id81686,not happy
id81687,not happy
id81688,not happy
id81689,not happy
id81690,not happy
id81691,not happy
id81692,not happy
id81693,not happy
id81694,not happy
id81695,not happy
id81696,not happy
id81697,not happy
id81698,not happy
id81699,not happy
id81700,not happy
id81701,not happy
id81702,happy
id81703,not happy
id81704,not happy
id81705,not happy
id81706,not happy
id81707,not happy
id81708,not happy
id81709,happy
id81710,not happy
id81711,not happy
id81712,not happy
id81713,not happy
id81714,not happy
id81715,not happy
id81716,not happy
id81717,not happy
id81718,not happy
id81719,not happy
id81720,not happy
id81721,not happy
id81722,not happy
id81723,not happy
id81724,not happy
id81725,not happy
id81726,not happy
id81727,not happy
id81728,happy
id81729,not happy
id81730,not happy
id81731,not happy
id81732,not happy
id81733,happy
id81734,not happy
id81735,not happy
id81736,not happy
id81737,happy
id81738,not happy
id81739,not happy
id81740,not happy
id81741,not happy
id81742,not happy
id81743,not happy
id81744,not happy
id81745,not happy
id81746,not happy
id81747,not happy
id81748,happy
id81749,not happy
id81750,not happy
id81751,not happy
id81752,not happy
id81753,not happy
id81754,not happy
id81755,not happy
id81756,not happy
id81757,not happy
id81758,not happy
id81759,not happy
id81760,not happy
id81761,not happy
id81762,not happy
id81763,not happy
id81764,not happy
id81765,not happy
id81766,happy
id81767,not happy
id81768,not happy
id81769,not happy
id81770,not happy
id81771,not happy
id81772,not happy
id81773,not happy
id81774,not happy
id81775,happy
id81776,not happy
id81777,not happy
id81778,not happy
id81779,not happy
id81780,not happy
id81781,not happy
id81782,not happy
id81783,not happy
id81784,not happy
id81785,not happy
id81786,not happy
id81787,not happy
id81788,not happy
id81789,not happy
id81790,not happy
id81791,not happy
id81792,not happy
id81793,not happy
id81794,not happy
id81795,not happy
id81796,not happy
id81797,not happy
id81798,not happy
id81799,not happy
id81800,not happy
id81801,not happy
id81802,not happy
id81803,not happy
id81804,not happy
id81805,not happy
id81806,not happy
id81807,not happy
id81808,not happy
id81809,not happy
id81810,not happy
id81811,not happy
id81812,not happy
id81813,not happy
id81814,not happy
id81815,not happy
id81816,not happy
id81817,not happy
id81818,not happy
id81819,not happy
id81820,not happy
id81821,not happy
id81822,not happy
id81823,not happy
id81824,not happy
id81825,not happy
id81826,not happy
id81827,not happy
id81828,not happy
id81829,not happy
id81830,not happy
id81831,not happy
id81832,not happy
id81833,not happy
id81834,not happy
id81835,not happy
id81836,not happy
id81837,not happy
id81838,happy
id81839,not happy
id81840,not happy
id81841,not happy
id81842,not happy
id81843,not happy
id81844,not happy
id81845,not happy
id81846,happy
id81847,not happy
id81848,not happy
id81849,not happy
id81850,not happy
id81851,not happy
id81852,not happy
id81853,not happy
id81854,not happy
id81855,not happy
id81856,happy
id81857,not happy
id81858,happy
id81859,not happy
id81860,not happy
id81861,happy
id81862,not happy
id81863,not happy
id81864,not happy
id81865,not happy
id81866,not happy
id81867,not happy
id81868,not happy
id81869,not happy
id81870,not happy
id81871,not happy
id81872,not happy
id81873,not happy
id81874,not happy
id81875,not happy
id81876,not happy
id81877,not happy
id81878,not happy
id81879,not happy
id81880,not happy
id81881,not happy
id81882,not happy
id81883,not happy
id81884,not happy
id81885,not happy
id81886,not happy
id81887,not happy
id81888,not happy
id81889,not happy
id81890,not happy
id81891,not happy
id81892,not happy
id81893,happy
id81894,not happy
id81895,not happy
id81896,not happy
id81897,not happy
id81898,not happy
id81899,not happy
id81900,not happy
id81901,not happy
id81902,not happy
id81903,not happy
id81904,not happy
id81905,not happy
id81906,not happy
id81907,not happy
id81908,happy
id81909,happy
id81910,happy
id81911,happy
id81912,not happy
id81913,not happy
id81914,not happy
id81915,not happy
id81916,not happy
id81917,not happy
id81918,not happy
id81919,not happy
id81920,not happy
id81921,not happy
id81922,not happy
id81923,not happy
id81924,not happy
id81925,not happy
id81926,not happy
id81927,not happy
id81928,happy
